C891,AA,Projeto Criosfera 
A514,MG,São João del Rei 
A547,MG,São Romão 
A561,MG,São Sebastião do Paraíso 
A522,MG,Serra dos Aimorés 
A569,MG,Sete Lagoas 
A527,MG,Teófilo Otoni 
A511,MG,Timóteo 
A528,MG,Três Marias 
A568,MG,Uberaba 
A507,MG,Uberlândia 
A542,MG,Unaí 
A515,MG,Varginha 
A510,MG,Viçosa 
A756,MS,Água Clara 
A750,MS,Amambaí 
S701,MS,Angélica 
A719,MS,Aquidauana 
S702,MS,Aral Moreira 
S703,MS,Bandeirantes 
A759,MS,Bataguassu 
A757,MS,Bela Vista 
S705,MS,Brasilândia 
S706,MS,Caarapó 
S707,MS,Camapuã 
A702,MS,Campo Grande 
A742,MS,Cassilândia 
A730,MS,Chapadão do Sul 
A724,MS,Corumbá 
A760,MS,Costa Rica 
A720,MS,Coxim 
A721,MS,Dourados 
S708,MS,Fátima do Sul 
S709,MS,Iguatemi 
S710,MS,Itaporã 
A752,MS,Itaquiraí 
A709,MS,Ivinhema 
A758,MS,Jardim 
A749,MS,Juti 
S711,MS,Laguna Carapã 
A731,MS,Maracaju 
A722,MS,Miranda 
A717,MS,Nhumirim 
S712,MS,Nova Alvorada do Sul 
A710,MS,Paranaíba 
S714,MS,Pedro Gomes 
A703,MS,Ponta Porã 
A723,MS,Porto Murtinho 
S715,MS,Ribas do Rio Pardo 
A743,MS,Rio Brilhante 
S716,MS,Santa Rita do Rio Pardo 
A732,MS,São Gabriel do Oeste 
S717,MS,Selviria 
A751,MS,Sete Quedas 
A754,MS,Sidrolândia 
A761,MS,Sonora 
A704,MS,Três Lagoas 
A908,MT,Água Boa 
A924,MT,Alta Floresta 
A909,MT,Alto Araguaia 
A934,MT,Alto Taquari 
A910,MT,Apiacás 
A941,MT,Cáceres 
A905,MT,Campo Novo dos Parecis 
A912,MT,Campo Verde 
A926,MT,Carlinda 
A913,MT,Comodoro 
A919,MT,Cotriguaçu 
A901,MT,Cuiabá 
A930,MT,Gaucha do Norte 
A906,MT,Guarantã do Norte 
A932,MT,Guiratinga 
A933,MT,Itiquira 
A914,MT,Juara 
A920,MT,Juína 
A928,MT,Nova Maringá 
A929,MT,Nova Ubiratã 
A927,MT,Novo Mundo 
A915,MT,Paranatinga 
A937,MT,Pontes e Lacerda 
A935,MT,Porto Estrela 
A923,MT,Primavera do Leste 
A916,MT,Querência 
A907,MT,Rondonópolis 
A936,MT,Salto do Céu 
A931,MT,Santo Antônio do Leste 
A921,MT,São Félix do Araguaia 
A903,MT,São José do Rio Claro 
A911,MT,Sapezal 
A917,MT,Sinop 
A904,MT,Sorriso 
A902,MT,Tangará da Serra 
A922,MT,Vila Bela da Santíssima Trindade 
A201,PA,Belém 
A226,PA,Bragança 
A228,PA,Breves 
A236,PA,Cametá 
A248,PA,Capitão Poço 
A202,PA,Castanhal 
A241,PA,Conceição do Araguaia 
A252,PA,Dom Eliseu 
A231,PA,Itaituba 
A240,PA,Marabá 
A209,PA,Medicilandia 
A246,PA,Mina Palito 
A239,PA,Monte Alegre 
A235,PA,Novo Repartimento 
A232,PA,Óbidos 
A210,PA,Pacajá 
A212,PA,Paragominas 
A211,PA,Placas 
A214,PA,Rondon do Pará 
A215,PA,Salinópolis 
A233,PA,Santana do Araguaia 
A250,PA,Santarém 
A216,PA,São Félix do Xingu 
A230,PA,Serra dos Carajás 
A227,PA,Soure 
A213,PA,Tomé Açu 
A234,PA,Tucumã 
A229,PA,Tucuruí 
A247,PA,Xinguara 
A310,PB,Areia 
A348,PB,Cabaceiras 
A352,PB,Camaratuba 
A313,PB,Campina Grande 
A373,PB,Itaporanga 
A320,PB,João Pessoa 
A334,PB,Monteiro 
A321,PB,Patos 
A333,PB,São Gonçalo 
A309,PE,Arco Verde 
A329,PE,Cabrobó 
A341,PE,Caruaru 
A351,PE,Floresta 
A322,PE,Garanhuns 
A349,PE,Ibimirim 
A366,PE,Ouricuri 
A357,PE,Palmares 
A307,PE,Petrolina 
A301,PE,Recife 
A370,PE,Salgueiro 
A350,PE,Serra Talhada 
A328,PE,Surubim 
A336,PI,Alvorada do Gurguéia 
A375,PI,Baixa Grande do Ribeiro 
A326,PI,Bom Jesus do Piauí 
A365,PI,Canto do Buriti 
A337,PI,Caracol 
A361,PI,Castelo do Piauí 
A374,PI,Corrente 
A338,PI,Esperantina 
A311,PI,Floriano 
A364,PI,Gilbués 
A354,PI,Oeiras 
A308,PI,Parnaíba 
A330,PI,Paulistana 
A343,PI,Picos 
A335,PI,Piripiri 
A331,PI,São João do Piauí 
A362,PI,São Pedro do Piaui 
A345,PI,São Raimundo Nonato 
A312,PI,Teresina 
A346,PI,Uruçui 
A363,PI,Valença do Piauí 
B803,PR,Campina da Lagoa 
A819,PR,Castro 
A869,PR,Cidade Gaúcha 
A876,PR,Clevelândia 
B806,PR,Colombo 
A807,PR,Curitiba 
A849,PR,Diamante do Norte 
A843,PR,Dois Vizinhos 
A846,PR,Foz do Iguaçu 
A875,PR,General Carneiro 
A824,PR,Icaraíma 
A847,PR,Ilha do Mel 
A823,PR,Inácio Martins 
A818,PR,Ivaí 
A871,PR,Japira 
A821,PR,Joaquim Távora 
B804,PR,Laranjeiras do Sul 
A820,PR,Marechal Cândido Rondon 
A835,PR,Maringá 
A873,PR,Morretes 
A842,PR,Nova Fátima 
A822,PR,Nova Tebas 
A850,PR,Paranapoema 
A855,PR,Planalto 
A874,PR,São Mateus do Sul 
A872,PR,Ventania 
A628,RJ,Angra dos Reis 
A606,RJ,Arraial do Cabo 
A604,RJ,Cambuci 
A607,RJ,Campos dos Goytacazes 
A620,RJ,Campos,São Tomé 
A603,RJ,Duque de Caxias,Xerém 
A635,RJ,Itatiaia,Parque Nacional 
A608,RJ,Macaé 
A624,RJ,Nova Friburgo-Salinas 
A619,RJ,Paraty 
A610,RJ,Petrópolis,Pico do Couto 
A609,RJ,Resende 
A626,RJ,Rio Claro (Passa Três) 
A652,RJ,Rio de Janeiro,Forte de Copacabana 
A636,RJ,Rio de Janeiro-Jacarepaguá 
A602,RJ,Rio de Janeiro,Marambaia 
A621,RJ,Rio de Janeiro,Vila Militar 
A667,RJ,Saquarema,Sampaio Correia 
A601,RJ,Seropédica,Ecologia Agrícola 
A659,RJ,Silva Jardim 
A618,RJ,Teresópolis,Parque Nacional 
A625,RJ,Três Rios 
A611,RJ,Valença 
A340,RN,Apodi 
A316,RN,Caicó 
A344,RN,Calcanhar 
A372,RN,Ipanguaçu 
A317,RN,Macau 
A318,RN,Mossoró 
A304,RN,Natal 
A367,RN,Santa Cruz 
A940,RO,Ariquemes 
A939,RO,Cacoal 
A925,RO,Porto Velho 
A938,RO,Vilhena 
A135,RR,Boa Vista 
A826,RS,Alegrete 
A827,RS,Bagé 
A840,RS,Bento Gonçalves 
A812,RS,Caçapava do Sul 
A838,RS,Camaquã 
A897,RS,Cambará do Sul 
A884,RS,Campo Bom 
A879,RS,Canela 
A811,RS,Canguçu 
A853,RS,Cruz Alta 
A881,RS,Dom Pedrito 
A893,RS,Encruzilhada do Sul 
A828,RS,Erechim 
A854,RS,Frederico Westphalen 
A883,RS,Ibirubá 
A836,RS,Jaguarão 
A844,RS,Lagoa Vemelha 
A878,RS,Mostardas 
A856,RS,Palmeira das Missões 
A839,RS,Passo Fundo 
A801,RS,Porto Alegre 
A831,RS,Quaraí 
A802,RS,Rio Grande 
A813,RS,Rio Pardo 
A803,RS,Santa Maria 
A804,RS,Santana do Livramento 
A810,RS,Santa Rosa 
A899,RS,Santa Vitória do Palmar (Barra do Chuí) 
A833,RS,Santiago 
A805,RS,Santo Augusto 
A830,RS,São Borja 
A832,RS,São Gabriel 
A829,RS,São José dos Ausentes 
A852,RS,São Luiz Gonzaga 
A889,RS,São Vicente do Sul 
A894,RS,Serafina Corrêa 
A837,RS,Soledade 
A882,RS,Teutônia 
A808,RS,Torres 
A834,RS,Tramandaí 
A886,RS,Tupanciretã 
A809,RS,Uruguaiana 
A880,RS,Vacaria 
A867,SC,Araranguá 
A859,SC,Caçador 
A860,SC,Curitibanos 
A848,SC,Dionísio Cerqueira 
A806,SC,Florianópolis-São José 
A817,SC,Indaial 
A868,SC,Itajaí 
A851,SC,Itapoá 
A863,SC,Ituporanga 
A841,SC,Joaçaba 
A865,SC,Lages 
A866,SC,Laguna (Farol Santa Marta) 
A864,SC,Major Vieira 
A845,SC,Morro da Igreja (Bom Jardim da Serra) 
A816,SC,Novo Horizonte 
A870,SC,Rancho Queimado 
A861,SC,Rio do Campo 
A862,SC,Rio Negrinho 
A815,SC,São Joaquim 
A857,SC,São Miguel do Oeste 
A814,SC,Urussanga 
A858,SC,Xanxerê 
A409,SE,Aracaju 
A421,SE,Brejo Grande 
A420,SE,Carira 
A451,SE,Itabaiana 
A417,SE,Itabaianinha 
A453,SE,Nossa Senhora da Glória 
A419,SE,Poço Verde 
A736,SP,Ariranha 
A725,SP,Avaré 
A741,SP,Barra Bonita 
A746,SP,Barra do Turvo 
A748,SP,Barretos 
A755,SP,Baruerí 
A705,SP,Bauru 
A764,SP,Bebedouro 
A765,SP,Bertioga 
A744,SP,Bragança Paulista 
A769,SP,Cachoeira Paulista 
A706,SP,Campos do Jordão 
A738,SP,Casa Branca 
A762,SP,Dracena 
A708,SP,Franca 
A737,SP,Ibitinga 
A712,SP,Iguape 
A714,SP,Itapeva 
A739,SP,Itapira 
A753,SP,Ituverava 
A733,SP,Jales 
A735,SP,José Bonifácio 
A727,SP,Lins 
A763,SP,Marília 
A716,SP,Ourinhos 
A726,SP,Piracicaba 
A747,SP,Pradópolis 
A707,SP,Presidente Prudente 
A718,SP,Rancharia 
A766,SP,Registro 
A711,SP,São Carlos 
A740,SP,São Luis do Paraitinga 
A715,SP,São Miguel Arcanjo 
A701,SP,São Paulo (Mirante de Santana) 
A771,SP,São Paulo-SESC Interlagos 
A767,SP,São Sebastião 
A713,SP,Sorocaba 
A728,SP,Taubaté 
A768,SP,Tupã 
A734,SP,Valparaiso 
A729,SP,Votuporanga 
A053,TO,Almas 
A054,TO,Araguaçu 
A021,TO,Araguaina 
A044,TO,Araguatins 
A043,TO,Campos Lindos 
A049,TO,Colinas do Tocantins 
A038,TO,Dianópolis 
A039,TO,Formoso do Araguaia 
A019,TO,Gurupi 
A055,TO,Lagoa da Confusão 
A041,TO,Marianópolis do Tocantins 
A040,TO,Mateiros 
A009,TO,Palmas 
A010,TO,Paranã 
A020,TO,Pedro Afonso 
A018,TO,Peixe 
A051,TO,Pium 
A050,TO,Rio Sono 
A048,TO,Santa Fé do Araguaia 
A052,TO,Santa Rosa do Tocantins 
U560,UY,Colonia 
U460,UY,Paso de los Toros 
U565,UY,Rocha 
U360,UY,Salto 
